,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher
136,2018,New Hampshire,33,83000,0,0,65455,264953,276069,364685
137,2019,New Hampshire,33,204000,0,0,65455,264953,276069,364685
138,2020,New Hampshire,33,221000,44028,758,65455,264953,276069,364685
139,2021,New Hampshire,33,243000,198667,1961,65455,264953,276069,364685
140,2017,New Jersey,34,1106000,0,0,600761,1649853,1405825,2513062
141,2018,New Jersey,34,441000,0,0,600761,1649853,1405825,2513062
142,2019,New Jersey,34,1062000,0,0,600761,1649853,1405825,2513062
143,2020,New Jersey,34,1112000,527784,19042,600761,1649853,1405825,2513062
144,2021,New Jersey,34,1122000,1564253,29037,600761,1649853,1405825,2513062
145,2017,New Mexico,35,309000,0,0,191076,370125,455809,398288
146,2018,New Mexico,35,178000,0,0,191076,370125,455809,398288
147,2019,New Mexico,35,298000,0,0,191076,370125,455809,398288
148,2020,New Mexico,35,300000,142864,2385,191076,370125,455809,398288
149,2021,New Mexico,35,338000,350043,5855,191076,370125,455809,398288
150,2017,North Carolina,37,1429000,0,0,815216,1806403,2201264,2273890
151,2018,North Carolina,37,89000,0,0,815216,1806403,2201264,2273890
152,2019,North Carolina,37,1440000,0,0,815216,1806403,2201264,2273890
153,2020,North Carolina,37,1469000,547683,7925,815216,1806403,2201264,2273890
154,2021,North Carolina,37,1532000,1695105,19828,815216,1806403,2201264,2273890
155,2017,North Dakota,38,89000,0,0,34308,129837,180727,152653
156,2018,North Dakota,38,454000,0,0,34308,129837,180727,152653
157,2019,North Dakota,38,97000,0,0,34308,129837,180727,152653
158,2020,North Dakota,38,108000,92770,1309,34308,129837,180727,152653
159,2021,North Dakota,38,116000,174626,2012,34308,129837,180727,152653
160,2017,Ohio,39,1777000,0,0,738770,2629870,2330787,2315539
161,2018,Ohio,39,104000,0,0,738770,2629870,2330787,2315539
162,2019,Ohio,39,1741000,0,0,738770,2629870,2330787,2315539
163,2020,Ohio,39,1906000,700380,8962,738770,2629870,2330787,2315539
164,2021,Ohio,39,2112000,2016095,29447,738770,2629870,2330787,2315539
165,2017,Oklahoma,40,540000,0,0,299032,812618,817128,682902
166,2018,Oklahoma,40,2684000,0,0,299032,812618,817128,682902
167,2019,Oklahoma,40,545000,0,0,299032,812618,817128,682902
168,2020,Oklahoma,40,592000,325524,4564,299032,812618,817128,682902
169,2021,Oklahoma,40,657000,708938,11555,299032,812618,817128,682902
170,2017,Oregon,41,692000,0,0,260785,667341,1003660,1013044
