Year,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths
2020,31,257000,167233,1651
2020,32,474000,224731,3125
2020,33,221000,44028,758
2020,34,1112000,527784,19042
2020,35,300000,142864,2385
2020,36,2802000,548154,12566
2020,37,1469000,547683,7925
2020,38,108000,92770,1309
2020,39,1906000,700380,8962
2020,40,592000,325524,4564
2020,41,731000,113909,1477
2020,42,1814000,648569,15978
2020,44,178000,85399,1778
2020,45,706000,317430,5306
2020,46,112000,99164,1488
2020,47,937000,576157,6810
2020,48,3347000,1756172,31282
2020,49,550000,276612,1269
2020,50,104000,6970,145
2020,51,1115000,354767,5081
2020,53,1269000,244803,3461
2020,54,337000,85334,1338
2020,55,859000,520438,5242
2020,56,88000,44409,438
2021,1,794000,904526,16747
2021,2,113000,151583,947
2021,4,1099000,1381488,24229
2021,5,460000,566486,9148
2021,6,5864000,5477529,75847
2021,8,1014000,955270,10271
2021,9,531000,510188,9160
2021,10,157000,178886,2400
2021,11,129000,94286,1211
2021,12,2903000,4249748,63184
2021,13,1406000,1839879,31443
2021,15,187000,109576,1079
2021,16,311000,319382,4162
2021,17,1858000,2181009,31017
2021,18,1129000,1246854,19037
2021,19,473000,582348,7858
2021,20,442000,519544,7001
2021,21,762000,880163,13063
2021,22,734000,828695,14986
2021,23,238000,154173,1531
2021,24,810000,720888,11875
2021,25,1157000,1140614,20273
2021,26,1571000,1710271,29019
2021,27,876000,1022212,10656
2021,28,446000,543737,10450
2021,29,1056000,1006913,16074
2021,30,171000,197724,2906
2021,31,290000,342939,3341
2021,32,512000,501181,8420
2021,33,243000,198667,1961
2021,34,1122000,1564253,29037
2021,35,338000,350043,5855
2021,36,2972000,1924606,23611
2021,37,1532000,1695105,19828
2021,38,116000,174626,2012
2021,39,2112000,2016095,29447
2021,40,657000,708938,11555
2021,41,783000,421263,5655
2021,42,1963000,2036424,36705
2021,44,187000,222729,3074
2021,45,760000,978154,14675
2021,46,118000,179204,2486
2021,47,1006000,1425369,20880
2021,48,3602000,4576799,74491
2021,49,599000,636992,3787
2021,50,112000,60788,453
2021,51,1199000,1133238,15601
2021,53,1360000,859170,9853
2021,54,347000,328162,5336
2021,55,904000,1120669,11173
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
2021,56,98000,115638,1526
