,Year,State,FIPS,18_or_Older_AMI_Total,Tot_Cases,Toth_Deaths,<High School,High School,Some college or associates degree,Bachelors degree or higher,Employed_2017,Unemployed_2017,Employed_2018,Unemployed_2018,Employed_2019,Unemployed_2019,Employed_2020,Unemployed_2020,Employed_2021,Unemployed_2021,Median_Household_Income_2020
62,2019,Illinois,17,1526000,0,0,898338,2220409,2482679,3085274,6237933,324358,6281764,286444,6308535,260280,5781084,585632,5935974,382941,71243
63,2020,Illinois,17,1754000,963389,17978,898338,2220409,2482679,3085274,6237933,324358,6281764,286444,6308535,260280,5781084,585632,5935974,382941,71243
64,2021,Illinois,17,1858000,2181009,31017,898338,2220409,2482679,3085274,6237933,324358,6281764,286444,6308535,260280,5781084,585632,5935974,382941,71243
65,2017,Indiana,18,993000,0,0,476425,1482396,1294565,1212794,3217049,116644,3270727,114980,3282443,111320,3083159,239670,3203166,118382,60794
66,2018,Indiana,18,1124000,0,0,476425,1482396,1294565,1212794,3217049,116644,3270727,114980,3282443,111320,3083159,239670,3203166,118382,60794
67,2019,Indiana,18,988000,0,0,476425,1482396,1294565,1212794,3217049,116644,3270727,114980,3282443,111320,3083159,239670,3203166,118382,60794
68,2020,Indiana,18,1125000,511698,8236,476425,1482396,1294565,1212794,3217049,116644,3270727,114980,3282443,111320,3083159,239670,3203166,118382,60794
69,2021,Indiana,18,1129000,1246854,19037,476425,1482396,1294565,1212794,3217049,116644,3270727,114980,3282443,111320,3083159,239670,3203166,118382,60794
70,2017,Iowa,19,392000,0,0,158401,647371,681977,617115,1645660,51835,1671631,43320,1704063,45557,1595824,86433,1605206,70869,62362
71,2018,Iowa,19,102000,0,0,158401,647371,681977,617115,1645660,51835,1671631,43320,1704063,45557,1595824,86433,1605206,70869,62362
72,2019,Iowa,19,418000,0,0,158401,647371,681977,617115,1645660,51835,1671631,43320,1704063,45557,1595824,86433,1605206,70869,62362
73,2020,Iowa,19,441000,280669,3891,158401,647371,681977,617115,1645660,51835,1671631,43320,1704063,45557,1595824,86433,1605206,70869,62362
74,2021,Iowa,19,473000,582348,7858,158401,647371,681977,617115,1645660,51835,1671631,43320,1704063,45557,1595824,86433,1605206,70869,62362
75,2017,Kansas,20,371000,0,0,165373,494226,603778,648613,1434516,53830,1439329,48698,1450705,46812,1408965,84741,1447323,48342,63214
76,2018,Kansas,20,244000,0,0,165373,494226,603778,648613,1434516,53830,1439329,48698,1450705,46812,1408965,84741,1447323,48342,63214
77,2019,Kansas,20,387000,0,0,165373,494226,603778,648613,1434516,53830,1439329,48698,1450705,46812,1408965,84741,1447323,48342,63214
78,2020,Kansas,20,420000,222433,2741,165373,494226,603778,648613,1434516,53830,1439329,48698,1450705,46812,1408965,84741,1447323,48342,63214
79,2021,Kansas,20,442000,519544,7001,165373,494226,603778,648613,1434516,53830,1439329,48698,1450705,46812,1408965,84741,1447323,48342,63214
